position	sentiment
0	0.0347222222222
23	0.0347222222222
151	0.0239695340502
298	0.0420250896057
380	0.0461917562724
531	0.0461917562724
653	0.0288306451613
703	0.0371639784946
892	0.0198028673835
984	0.0239695340502
1035	0.0239695340502
1083	0.0239695340502
1151	0.0239695340502
1381	0.0239695340502
1478	0.0347222222222
1656	0.00833333333333
1778	0.00416666666667
1903	0.0347222222222
2075	0.0347222222222
2190	0.0375
2352	0.0375
2464	0.05
2604	0.05
2777	0.01875
2814	0.01875
2905	0.0125
2965	0.0125
3044	0.0208333333333
3096	0.0145833333333
3208	-0.0159722222222
3216	-0.0472222222222
3418	-0.0583333333333
