position	sentiment
0	-0.222222222222
23	-0.222222222222
88	-0.222222222222
157	-0.230555555556
194	-0.188888888889
343	-0.143055555556
411	-0.0138888888889
587	-0.0138888888889
618	0.115277777778
672	0.115277777778
737	0.156944444444
796	0.148611111111
848	0.148611111111
957	0.1375
1027	0.1375
1056	0.1375
1111	0.183333333333
1127	0.1375
1156	0.0916666666667
1221	0.0916666666667
1259	0.0458333333333
1288	0.0916666666667
1330	0.0916666666667
1361	0.0916666666667
1394	0.0916666666667
1433	0.1375
1457	0.1375
1472	0.1375
1508	0.0916666666667
1540	0.0916666666667
1595	0.0916666666667
1636	0.0916666666667
1656	0.0916666666667
1697	0.0458333333333
1731	0.0458333333333
1798	0.0458333333333
1814	0.0458333333333
1852	0.0
1892	0.0
1900	0.0
1920	0.0
1931	0.0
1940	0.0
1979	0.0
1998	0.0111111111111
2021	0.0111111111111
2065	0.0111111111111
2081	-0.00555555555556
2137	-0.00555555555556
2176	-0.00555555555556
2293	-0.00555555555556
2378	-0.00555555555556
2530	-0.00555555555556
2608	-0.00555555555556
2829	-0.00555555555556
2938	-0.00555555555556
3002	-0.0166666666667
3061	-0.0166666666667
3110	0.00833333333333
3163	0.025
3212	0.025
3242	0.05
3272	0.05
3311	0.05
3341	0.05
